Date,Open,Close,Past_1_Days_Close,Past_2_Days_Close,Past_3_Days_Close,Past_4_Days_Close,Past_5_Days_Close,Past_6_Days_Close,Past_7_Days_Close,Past_8_Days_Close,Past_9_Days_Close,Past_10_Days_Close,Past_11_Days_Close,Past_12_Days_Close,Past_13_Days_Close,Past_14_Days_Close,Past_15_Days_Close
2024-01-22,27.42,27.17,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80,26.62,26.67,27.07,26.84,26.52,26.81,26.78
2024-01-23,27.30,27.65,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80,26.62,26.67,27.07,26.84,26.52,26.81
2024-01-24,27.72,27.71,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80,26.62,26.67,27.07,26.84,26.52
2024-01-25,27.76,27.67,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80,26.62,26.67,27.07,26.84
2024-01-26,27.70,27.87,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80,26.62,26.67,27.07
2024-01-29,27.86,27.64,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80,26.62,26.67
2024-01-30,27.63,27.50,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80,26.62
2024-01-31,27.59,27.61,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96,26.80
2024-02-01,27.61,28.24,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49,26.96
2024-02-02,28.22,28.23,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33,27.49
2024-02-05,28.24,28.54,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39,27.33
2024-02-06,28.57,29.15,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07,27.39
2024-02-07,29.14,29.07,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35,27.07
2024-02-08,29.08,28.63,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17,27.35
2024-02-09,28.61,28.16,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65,27.17
2024-02-14,28.06,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71,27.65
2024-02-15,28.54,28.54,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67,27.71
2024-02-16,28.65,28.31,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87,27.67
2024-02-19,28.33,28.82,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64,27.87
2024-02-20,28.79,29.00,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50,27.64
2024-02-21,29.01,29.07,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61,27.50
2024-02-22,28.92,28.63,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24,27.61
2024-02-23,28.65,28.28,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23,28.24
2024-02-26,28.29,28.55,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54,28.23
2024-02-27,28.68,28.89,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15,28.54
2024-02-28,28.87,28.95,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07,29.15
2024-02-29,28.95,28.52,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63,29.07
2024-03-01,28.56,28.55,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16,28.63
2024-03-04,28.59,28.43,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54,28.16
2024-03-05,28.49,28.62,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54,28.54
2024-03-06,28.69,29.05,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31,28.54
2024-03-07,29.05,28.77,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82,28.31
2024-03-08,28.10,28.49,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00,28.82
2024-03-11,28.44,28.20,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07,29.00
2024-03-12,28.50,28.80,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63,29.07
2024-03-13,28.75,28.48,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28,28.63
2024-03-14,28.48,28.35,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55,28.28
2024-03-15,28.41,28.65,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89,28.55
2024-03-18,28.65,28.01,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95,28.89
2024-03-19,28.12,27.92,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52,28.95
2024-03-20,27.92,28.22,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55,28.52
2024-03-21,28.30,27.82,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43,28.55
2024-03-22,27.83,27.70,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62,28.43
2024-03-25,27.72,27.82,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05,28.62
2024-03-26,27.84,27.97,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77,29.05
2024-03-27,28.08,27.99,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49,28.77
2024-03-28,27.88,28.31,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20,28.49
2024-04-01,28.35,28.04,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80,28.20
2024-04-02,28.02,28.08,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48,28.80
2024-04-03,28.05,28.19,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35,28.48
2024-04-04,28.27,28.39,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65,28.35
2024-04-05,28.45,28.50,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01,28.65
2024-04-08,28.75,28.95,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92,28.01
2024-04-09,29.12,29.19,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22,27.92
2024-04-10,29.17,28.80,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82,28.22
2024-04-11,28.75,28.87,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70,27.82
2024-04-12,28.87,28.50,28.50,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82,27.70
2024-04-15,28.63,28.23,28.23,28.50,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97,27.82
2024-04-16,28.23,27.91,27.91,28.23,28.50,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99,27.97
2024-04-17,28.00,27.97,27.97,27.91,28.23,28.50,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31,27.99
2024-04-18,28.15,27.93,27.93,27.97,27.91,28.23,28.50,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04,28.31
2024-04-19,28.02,27.71,27.71,27.93,27.97,27.91,28.23,28.50,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08,28.04
2024-04-22,27.80,27.39,27.39,27.71,27.93,27.97,27.91,28.23,28.50,28.87,28.80,29.19,28.95,28.50,28.39,28.19,28.08
