Date,Open,Close,Past_1_Days_Close,Past_2_Days_Close,Past_3_Days_Close,Past_4_Days_Close,Past_5_Days_Close,Past_6_Days_Close,Past_7_Days_Close,Past_8_Days_Close,Past_9_Days_Close,Past_10_Days_Close,Past_11_Days_Close,Past_12_Days_Close,Past_13_Days_Close,Past_14_Days_Close,Past_15_Days_Close
2024-01-22,17.23,17.13,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87,17.91,18.39,19.25,19.24,19.29,19.58,19.41
2024-01-23,17.27,17.42,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87,17.91,18.39,19.25,19.24,19.29,19.58
2024-01-24,17.67,17.82,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87,17.91,18.39,19.25,19.24,19.29
2024-01-25,17.92,17.92,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87,17.91,18.39,19.25,19.24
2024-01-26,18.01,18.16,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87,17.91,18.39,19.25
2024-01-29,18.17,18.08,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87,17.91,18.39
2024-01-30,17.99,17.91,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87,17.91
2024-01-31,17.74,17.73,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90,17.87
2024-02-01,17.80,17.57,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84,17.90
2024-02-02,17.48,17.12,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19,17.84
2024-02-05,17.00,17.37,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69,17.19
2024-02-06,17.45,17.99,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07,16.69
2024-02-07,18.00,18.33,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33,17.07
2024-02-08,18.51,18.06,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13,17.33
2024-02-09,18.01,17.80,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42,17.13
2024-02-14,17.70,17.87,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82,17.42
2024-02-15,18.01,18.43,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92,17.82
2024-02-16,18.63,19.04,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16,17.92
2024-02-19,18.85,18.92,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08,18.16
2024-02-20,18.51,18.00,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91,18.08
2024-02-21,17.77,17.47,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73,17.91
2024-02-22,17.65,17.45,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57,17.73
2024-02-23,17.50,17.73,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12,17.57
2024-02-26,17.37,17.17,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37,17.12
2024-02-27,17.49,17.33,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99,17.37
2024-02-28,17.27,17.06,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33,17.99
2024-02-29,17.00,16.82,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06,18.33
2024-03-01,16.84,17.07,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80,18.06
2024-03-04,17.06,16.68,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87,17.80
2024-03-05,16.65,16.58,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43,17.87
2024-03-06,16.63,16.65,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04,18.43
2024-03-07,17.05,15.85,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92,19.04
2024-03-08,15.66,16.31,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00,18.92
2024-03-11,15.91,16.02,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47,18.00
2024-03-12,16.07,16.20,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45,17.47
2024-03-13,16.09,16.27,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73,17.45
2024-03-14,16.28,15.66,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17,17.73
2024-03-15,15.56,15.26,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33,17.17
2024-03-18,15.36,15.71,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06,17.33
2024-03-19,15.90,15.99,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82,17.06
2024-03-20,15.99,16.31,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07,16.82
2024-03-21,16.40,16.29,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68,17.07
2024-03-22,16.14,15.87,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58,16.68
2024-03-25,15.85,15.70,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65,16.58
2024-03-26,15.60,15.54,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85,16.65
2024-03-27,15.49,15.64,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31,15.85
2024-03-28,15.56,15.70,15.70,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02,16.31
2024-04-01,15.84,15.72,15.72,15.70,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20,16.02
2024-04-02,15.59,15.33,15.33,15.72,15.70,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27,16.20
2024-04-03,15.18,15.34,15.34,15.33,15.72,15.70,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66,16.27
2024-04-04,15.20,15.16,15.16,15.34,15.33,15.72,15.70,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26,15.66
2024-04-05,15.11,14.95,14.95,15.16,15.34,15.33,15.72,15.70,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71,15.26
2024-04-08,15.17,15.34,15.34,14.95,15.16,15.34,15.33,15.72,15.70,15.64,15.54,15.70,15.87,16.29,16.31,15.99,15.71
