Date,Open,Close,Past_1_Days_Close,Past_2_Days_Close,Past_3_Days_Close,Past_4_Days_Close,Past_5_Days_Close,Past_6_Days_Close,Past_7_Days_Close,Past_8_Days_Close,Past_9_Days_Close,Past_10_Days_Close,Past_11_Days_Close,Past_12_Days_Close,Past_13_Days_Close,Past_14_Days_Close,Past_15_Days_Close
2024-01-22,37.50,37.70,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72,38.63,38.96,37.78
2024-01-23,37.84,38.17,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72,38.63,38.96
2024-01-24,38.29,37.88,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72,38.63
2024-01-25,38.26,39.28,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72
2024-01-26,39.10,39.96,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43
2024-01-29,40.00,40.57,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10
2024-01-30,40.17,40.32,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75
2024-01-31,40.23,40.76,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07
2024-02-01,40.78,41.57,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17
2024-02-02,41.58,41.03,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58
2024-02-05,41.01,41.21,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10
2024-02-06,41.45,41.59,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88
2024-02-07,41.52,42.20,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73
2024-02-08,42.30,41.86,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53
2024-02-09,42.14,41.30,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70
2024-02-14,41.10,40.99,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17
2024-02-15,41.01,42.30,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88
2024-02-16,42.09,42.69,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28
2024-02-19,42.76,42.90,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96
2024-02-20,42.77,42.45,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57
2024-02-21,42.45,42.51,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32
2024-02-22,42.67,42.19,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76
2024-02-23,42.14,41.90,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57
