Date,Open,Close,Past_1_Days_Close,Past_2_Days_Close,Past_3_Days_Close,Past_4_Days_Close,Past_5_Days_Close,Past_6_Days_Close,Past_7_Days_Close,Past_8_Days_Close,Past_9_Days_Close,Past_10_Days_Close,Past_11_Days_Close,Past_12_Days_Close,Past_13_Days_Close,Past_14_Days_Close,Past_15_Days_Close
2024-01-22,64.61,64.90,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50,69.14,70.19,71.09,71.45,72.38,73.37,73.75
2024-01-23,66.00,66.24,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50,69.14,70.19,71.09,71.45,72.38,73.37
2024-01-24,67.29,66.91,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50,69.14,70.19,71.09,71.45,72.38
2024-01-25,67.00,65.26,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50,69.14,70.19,71.09,71.45
2024-01-26,64.99,66.52,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50,69.14,70.19,71.09
2024-01-29,66.51,66.21,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50,69.14,70.19
2024-01-30,66.43,65.84,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50,69.14
2024-01-31,65.18,64.86,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62,69.50
2024-02-01,64.96,64.56,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49,68.62
2024-02-02,64.38,63.25,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60,68.49
2024-02-05,63.08,62.71,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38,67.60
2024-02-06,63.24,63.82,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05,66.38
2024-02-07,63.96,63.94,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18,66.05
2024-02-08,64.60,63.38,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90,65.18
2024-02-09,63.27,63.10,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24,64.90
2024-02-14,63.16,62.91,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91,66.24
2024-02-15,62.70,62.71,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26,66.91
2024-02-16,63.64,65.09,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52,65.26
2024-02-19,64.17,64.60,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21,66.52
2024-02-20,63.32,63.18,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84,66.21
2024-02-21,62.81,63.66,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86,65.84
2024-02-22,63.98,64.34,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56,64.86
2024-02-23,65.33,64.50,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25,64.56
2024-02-26,63.69,62.93,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71,63.25
2024-02-27,63.65,64.59,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82,62.71
2024-02-28,63.94,63.88,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94,63.82
2024-02-29,63.70,64.12,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38,63.94
2024-03-01,64.03,64.02,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10,63.38
2024-03-04,64.08,63.87,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91,63.10
2024-03-05,63.17,63.03,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71,62.91
2024-03-06,63.38,63.89,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09,62.71
2024-03-07,64.57,63.67,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60,65.09
2024-03-08,63.37,63.18,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18,64.60
2024-03-11,62.01,61.22,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66,63.18
2024-03-12,62.36,60.84,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34,63.66
2024-03-13,60.60,61.23,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50,64.34
2024-03-14,61.10,60.45,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93,64.50
2024-03-15,60.10,59.76,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59,62.93
2024-03-18,60.49,60.90,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88,64.59
2024-03-19,61.73,61.40,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12,63.88
2024-03-20,61.41,61.81,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02,64.12
2024-03-21,62.43,61.66,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87,64.02
2024-03-22,61.50,60.95,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03,63.87
2024-03-25,61.02,60.82,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89,63.03
2024-03-26,60.31,60.05,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67,63.89
2024-03-27,59.80,60.60,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18,63.67
2024-03-28,60.62,60.83,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22,63.18
2024-04-01,61.60,61.22,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84,61.22
2024-04-02,61.37,61.94,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23,60.84
2024-04-03,61.37,61.05,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45,61.23
2024-04-04,60.90,60.37,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76,60.45
2024-04-05,60.28,59.71,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90,59.76
2024-04-08,61.10,62.97,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40,60.90
2024-04-09,63.63,62.55,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81,61.40
2024-04-10,62.33,61.60,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66,61.81
2024-04-11,61.79,61.86,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95,61.66
2024-04-12,62.80,61.63,61.63,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82,60.95
2024-04-15,62.30,61.99,61.99,61.63,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05,60.82
2024-04-16,61.13,61.44,61.44,61.99,61.63,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60,60.05
2024-04-17,63.04,62.11,62.11,61.44,61.99,61.63,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83,60.60
2024-04-18,62.69,62.34,62.34,62.11,61.44,61.99,61.63,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22,60.83
2024-04-19,62.24,63.36,63.36,62.34,62.11,61.44,61.99,61.63,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94,61.22
2024-04-22,63.03,63.33,63.33,63.36,62.34,62.11,61.44,61.99,61.63,61.86,61.60,62.55,62.97,59.71,60.37,61.05,61.94
